,importance
rot_speed_rpm_m30,0.0376243871198229
rot_speed_rpm_m10,0.03732678120779473
torque_nm_m10,0.033749063115618046
wear_torque,0.0321048354873813
vib_per_rpm,0.031096013958156102
rot_speed_rpm_m60,0.029457605408841372
torque_nm_m60,0.02752295781812392
torque_nm_m30,0.027331726001876413
wear_torque_m10,0.02366333238733347
power_w_m10,0.023022208085942863
tool_wear_min,0.020321437923028818
current_a_m10,0.02002448649438177
air_temp_k_m60,0.017124148051518663
air_temp_k_m10,0.016593145924578008
process_temp_k_m60,0.015930416735077106
air_temp_k_m30,0.015905611826014212
tool_wear_min_m10,0.014219804067745081
rot_speed_rpm,0.013487311007535674
power_w_m30,0.013478057037131754
temp_diff_k_m10,0.01340621083816484
power_w_m60,0.013200274070197839
humidity_pct_m60,0.01318297597119265
vibration_mms_m10,0.01315569392586656
air_temp_k,0.01312563259584065
torque_nm,0.01260513234009429
vibration_mms_m30,0.012309715765074298
wear_torque_m30,0.012213519398871673
tool_wear_min_d10,0.012019768469647541
vibration_mms_s60,0.011929530459953661
process_temp_k_m30,0.011870133053367852
